,file_number,filename,object,object_score,object_bounds,time,last_clean_time,next_clean_time,new_date,new_time,group,range_start
0,1,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0157.JPG,Person,0.7551708817481995,"normalized_vertices {
  x: 0.18117929995059967
  y: 0.4562425911426544
}
normalized_vertices {
  x: 0.38483354449272156
  y: 0.4562425911426544
}
normalized_vertices {
  x: 0.38483354449272156
  y: 0.9556431174278259
}
normalized_vertices {
  x: 0.18117929995059967
  y: 0.9556431174278259
}
",2020-06-13 05:12:24,,2020-06-13 05:12:24,2020-06-13,05:12:24,1,2020-06-13 05:12:24
1,1,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0157.JPG,Clothing,0.7022172212600708,"normalized_vertices {
  x: 0.1821873039007187
  y: 0.5268184542655945
}
normalized_vertices {
  x: 0.3773832321166992
  y: 0.5268184542655945
}
normalized_vertices {
  x: 0.3773832321166992
  y: 0.9551129937171936
}
normalized_vertices {
  x: 0.1821873039007187
  y: 0.9551129937171936
}
",2020-06-13 05:12:24,2020-06-13 05:12:24,2020-06-13 05:12:25,2020-06-13,05:12:24,1,2020-06-13 05:12:24
2,2,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0158.JPG,Animal,0.7287576198577881,"normalized_vertices {
  x: 0.4303300082683563
  y: 0.4809229075908661
}
normalized_vertices {
  x: 0.6097077131271362
  y: 0.4809229075908661
}
normalized_vertices {
  x: 0.6097077131271362
  y: 0.9496024250984192
}
normalized_vertices {
  x: 0.4303300082683563
  y: 0.9496024250984192
}
",2020-06-13 05:12:25,2020-06-13 05:12:24,2020-06-13 05:12:25,2020-06-13,05:12:25,1,2020-06-13 05:12:24
3,2,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0158.JPG,Animal,0.5738112926483154,"normalized_vertices {
  x: 0.5675568580627441
  y: 0.8207970261573792
}
normalized_vertices {
  x: 0.676481306552887
  y: 0.8207970261573792
}
normalized_vertices {
  x: 0.676481306552887
  y: 0.9477519989013672
}
normalized_vertices {
  x: 0.5675568580627441
  y: 0.9477519989013672
}
",2020-06-13 05:12:25,2020-06-13 05:12:25,2020-06-13 05:12:25,2020-06-13,05:12:25,1,2020-06-13 05:12:24
4,2,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0158.JPG,Clothing,0.5530562400817871,"normalized_vertices {
  x: 0.4294547140598297
  y: 0.4948670566082001
}
normalized_vertices {
  x: 0.6082488894462585
  y: 0.4948670566082001
}
normalized_vertices {
  x: 0.6082488894462585
  y: 0.956805408000946
}
normalized_vertices {
  x: 0.4294547140598297
  y: 0.956805408000946
}
",2020-06-13 05:12:25,2020-06-13 05:12:25,2020-06-13 05:12:25,2020-06-13,05:12:25,1,2020-06-13 05:12:24
5,3,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0159.JPG,Person,0.721468985080719,"normalized_vertices {
  x: 0.4920711815357208
  y: 0.5175976157188416
}
normalized_vertices {
  x: 0.6545154452323914
  y: 0.5175976157188416
}
normalized_vertices {
  x: 0.6545154452323914
  y: 0.9255480766296387
}
normalized_vertices {
  x: 0.4920711815357208
  y: 0.9255480766296387
}
",2020-06-13 05:12:25,2020-06-13 05:12:25,2020-06-15 05:10:28,2020-06-13,05:12:25,1,2020-06-13 05:12:24
6,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0580.JPG,Clothing,0.7833751440048218,"normalized_vertices {
  x: 0.224124476313591
  y: 0.49828004837036133
}
normalized_vertices {
  x: 0.4080660343170166
  y: 0.49828004837036133
}
normalized_vertices {
  x: 0.4080660343170166
  y: 0.933513879776001
}
normalized_vertices {
  x: 0.224124476313591
  y: 0.933513879776001
}
",2020-06-15 05:10:28,2020-06-13 05:12:25,2020-06-15 05:10:28,2020-06-15,05:10:28,2,2020-06-15 05:10:28
7,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0580.JPG,Person,0.773230254650116,"normalized_vertices {
  x: 0.21705053746700287
  y: 0.43803831934928894
}
normalized_vertices {
  x: 0.41092368960380554
  y: 0.43803831934928894
}
normalized_vertices {
  x: 0.41092368960380554
  y: 0.9346185326576233
}
normalized_vertices {
  x: 0.21705053746700287
  y: 0.9346185326576233
}
",2020-06-15 05:10:28,2020-06-15 05:10:28,2020-06-15 05:10:28,2020-06-15,05:10:28,2,2020-06-15 05:10:28
8,5,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0581.JPG,Person,0.8533753752708435,"normalized_vertices {
  x: 0.47519540786743164
  y: 0.485378623008728
}
normalized_vertices {
  x: 0.65951007604599
  y: 0.485378623008728
}
normalized_vertices {
  x: 0.65951007604599
  y: 0.9591850638389587
}
normalized_vertices {
  x: 0.47519540786743164
  y: 0.9591850638389587
}
",2020-06-15 05:10:28,2020-06-15 05:10:28,2020-06-15 05:10:28,2020-06-15,05:10:28,2,2020-06-15 05:10:28
9,5,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0581.JPG,Clothing,0.746414065361023,"normalized_vertices {
  x: 0.48382484912872314
  y: 0.509779691696167
}
normalized_vertices {
  x: 0.6579383015632629
  y: 0.509779691696167
}
normalized_vertices {
  x: 0.6579383015632629
  y: 0.9199099540710449
}
normalized_vertices {
  x: 0.48382484912872314
  y: 0.9199099540710449
}
",2020-06-15 05:10:28,2020-06-15 05:10:28,2020-06-15 05:10:28,2020-06-15,05:10:28,2,2020-06-15 05:10:28
